Name,Level,Order,Type,Object,Time,TileXSize,TileYSize,Variability,Columns,Rows,MultipleX,MultipleY,CladdingSeed,OpeningSeed,MargeX,UpperMargin,LowerMargin,MinOpeningHeight,MinOpeningWidth,DoorNumber,Max,Total,CV
Margaux,303221202,1,Plugin,2,28.0,4.0,2.0,4.0,2.0,2.0,5.0,1.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,37.0,0.732726579012214
Margaux,303221202,1,Plugin,3,41.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,21.0,4.0,3.0,3.0,3.0,3.0,2.0,21.0,52.0,1.4293372841464764
Margaux,303221202,1,Plugin,4,14.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,7.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,36.0,0.6259912773873765
Margaux,303221202,0,Tot,0,350.0,26.0,35.0,29.0,21.0,18.0,15.0,15.0,48.0,96.0,23.0,24.0,24.0,25.0,18.0,28.0,96.0,445.0,0.6795132349808564
Margaux,303221202,0,Average,0,38.888888888888886,2.888888888888889,3.888888888888889,3.2222222222222223,2.3333333333333335,2.0,1.6666666666666667,1.6666666666666667,5.333333333333333,10.666666666666666,2.5555555555555554,2.6666666666666665,2.6666666666666665,2.7777777777777777,2.0,3.111111111111111,10.666666666666666,49.44444444444444,0.6795132349808565
Margaux,303221202,0,Standard Deviation,0,20.581815058714113,1.8333333333333335,3.443996386628638,1.3944333775567928,0.7071067811865476,1.0,1.3228756555322951,1.1180339887498947,3.278719262151,7.399324293474372,1.2360330811826106,1.9364916731037085,2.2912878474779204,1.4813657362192647,0.8660254037844386,1.2692955176439846,7.399324293474372,30.578322338024805,0.8282824569011012
JL,304420003,1,Grasshopper,2,34.0,2.0,2.0,3.0,5.0,2.0,6.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0,2.0,6.0,41.0,0.5259477720206787
JL,304420003,1,Grasshopper,3,17.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,31.0,0.465072631317704
JL,304420003,1,Grasshopper,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0
JL,304420003,2,Hybrid,2,22.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,35.0,0.5036311297654312
JL,304420003,2,Hybrid,3,20.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,1.0,6.0,31.0,0.6956083436402524
JL,304420003,2,Hybrid,4,24.0,5.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,5.0,38.0,0.535169885634374
JL,304420003,3,Plugin,2,24.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,32.0,0.429129101453497
JL,304420003,3,Plugin,3,27.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,7.0,39.0,0.540029115398049
JL,304420003,3,Plugin,4,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,17.0,0.3104698017127927
JL,304420003,0,Tot,0,173.0,25.0,19.0,26.0,21.0,15.0,20.0,16.0,18.0,24.0,15.0,17.0,15.0,13.0,21.0,14.0,26.0,279.0,0.22241621448502966
JL,304420003,0,Average,0,19.22222222222222,2.7777777777777777,2.111111111111111,2.888888888888889,2.3333333333333335,1.6666666666666667,2.2222222222222223,1.7777777777777777,2.0,2.6666666666666665,1.6666666666666667,1.8888888888888888,1.6666666666666667,1.4444444444444444,2.3333333333333335,1.5555555555555556,2.888888888888889,31.000000000000004,0.22241621448502963
JL,304420003,0,Standard Deviation,0,10.615763959529453,1.3944333775567928,1.3642254619787415,1.4529663145135578,1.1180339887498947,0.7071067811865476,1.6414763002993507,0.9718253158075502,1.224744871391589,2.0,0.7071067811865476,0.7817359599705717,0.9999999999999999,0.5270462766947299,1.5811388300841895,0.5270462766947299,2.0,16.998886536114792,0.3880944721290586
Hélène,404113001,3,Grasshopper,2,33.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,3.0,12.0,4.0,1.0,1.0,1.0,1.0,1.0,12.0,38.0,1.125090683589532
Hélène,404113001,3,Grasshopper,3,19.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,5.0,1.0,8.0,1.0,1.0,1.0,1.0,8.0,31.0,0.9757731265970434
Hélène,404113001,3,Grasshopper,4,13.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,27.0,0.47882867076185254
Hélène,404113001,1,Hybrid,2,92.0,7.0,1.0,17.0,3.0,2.0,2.0,1.0,2.0,22.0,4.0,3.0,4.0,10.0,17.0,2.0,22.0,97.0,1.0550923492653812
Hélène,404113001,1,Hybrid,3,12.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,5.0,28.0,0.753998089873925
Hélène,404113001,1,Hybrid,4,23.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,4.0,2.0,6.0,34.0,0.7543742926464508
Hélène,404113001,2,Plugin,2,40.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,6.0,14.0,2.0,1.0,1.0,2.0,2.0,2.0,14.0,45.0,1.098339294730552
Hélène,404113001,2,Plugin,3,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,18.0,0.4671765921511568
Hélène,404113001,2,Plugin,4,9.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,22.0,0.7227946550308769
Hélène,404113001,0,Tot,0,245.0,22.0,10.0,35.0,15.0,14.0,12.0,13.0,24.0,74.0,22.0,19.0,15.0,21.0,31.0,13.0,74.0,340.0,0.7004782632820927
Hélène,404113001,0,Average,0,27.22222222222222,2.4444444444444446,1.1111111111111112,3.888888888888889,1.6666666666666667,1.5555555555555556,1.3333333333333333,1.4444444444444444,2.6666666666666665,8.222222222222221,2.4444444444444446,2.111111111111111,1.6666666666666667,2.3333333333333335,3.4444444444444446,1.4444444444444444,8.222222222222221,37.77777777777778,0.7004782632820927
Hélène,404113001,0,Standard Deviation,0,26.887626232980185,2.351122663277647,0.33333333333333337,5.060742150229658,0.7071067811865476,0.7264831572567789,0.5,0.7264831572567789,1.6583123951777001,6.457123542603506,1.5898986690282428,2.315407331574968,1.118033988749895,2.91547594742265,5.198824653494074,0.5270462766947299,6.457123542603506,32.18539404728651,0.9100722783940675
Luca,324332103,2,Grasshopper,2,97.0,19.0,9.0,1.0,2.0,1.0,4.0,3.0,7.0,14.0,1.0,5.0,1.0,12.0,1.0,1.0,19.0,81.0,1.0540925533894598
Luca,324332103,2,Grasshopper,3,54.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,4.0,15.0,5.0,1.0,1.0,1.0,8.0,1.0,15.0,53.0,1.0954311871753253
Luca,324332103,2,Grasshopper,4,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0,0.4556450995538138
Luca,324332103,3,Hybrid,2,23.0,1.0,1.0,8.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,5.0,1.0,1.0,2.0,3.0,8.0,37.0,0.8374018045853875
Luca,324332103,3,Hybrid,3,13.0,1.0,8.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,27.0,1.0540925533894598
Luca,324332103,3,Hybrid,4,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0,0.4556450995538138
Luca,324332103,1,Plugin,2,37.0,6.0,9.0,4.0,2.0,1.0,4.0,4.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,9.0,48.0,0.7672859170944222
Luca,324332103,1,Plugin,3,25.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,14.0,2.0,1.0,1.0,1.0,3.0,1.0,14.0,33.0,1.5095133190696401
Luca,324332103,1,Plugin,4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,21.0,0.9273932871430011
