Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
13:1:57:430;2.1;0.23;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:58:507;2.1;0.66;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:58:925;2.1;1.06;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:59:299;2.1;1.22;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:1:59:738;2.1;1.25;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:2:0:803;2.1;0.96;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:2:1:272;2.1;0.49;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:2:1:842;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.6;0.4;0.6;1.62;1.98;4
13:2:3:750;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.53;0.4;0.6;1.62;1.98;4
13:2:4:453;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.51;0.4;0.6;1.62;1.98;4
13:2:4:889;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.23;0.4;0.6;1.62;1.98;4
13:2:5:313;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.25;0.4;0.6;1.62;1.98;4
13:2:5:758;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.97;0.4;0.6;1.62;1.98;4
13:2:6:181;2.1;0.46;0.6;0.86;2;2;3;2;66;23;1.09;0.4;0.6;1.62;1.98;4
13:2:6:951;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.78;0.4;0.6;1.62;1.98;4
13:2:7:362;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.57;0.4;0.6;1.62;1.98;4
13:2:8:40;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.46;0.4;0.6;1.62;1.98;4
13:2:13:648;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.46;0.4;0.99;1.62;1.98;4
13:2:13:997;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.46;0.4;1.26;1.62;1.98;4
13:2:14:894;2.1;0.46;0.6;0.86;2;2;3;2;66;23;0.46;0.4;0.2;1.62;1.98;4
13:2:24:165;2.1;0.46;0.6;0.86;2;2;3;2;66;41;0.46;0.4;0.21;1.62;1.98;4
13:2:26:508;2.1;0.46;0.6;0.86;2;2;3;2;66;66;0.46;0.4;0.21;1.62;1.98;4
13:2:54:100;2.2;0.6;0.4;0.86;2;2;3;2;66;66;0.6;0.74;0.4;1.62;1.98;4
13:3:49:557;2.2;0.6;0.4;0.7;2;2;3;2;66;66;0.6;0.74;0.4;1.62;1.98;4
13:3:53:264;2.2;0.6;0.4;0.7;2;2;4;2;66;66;0.6;0.74;0.4;1.62;1.98;4
13:3:55:372;2.2;0.6;0.4;0.7;2;2;3;2;66;66;0.6;0.74;0.4;1.62;1.98;4
13:4:0:191;2.2;0.6;0.4;0.7;2;2;2;2;66;66;0.6;0.74;0.4;1.62;1.98;4
13:4:6:119;2.2;0.65;0.4;0.7;2;2;2;2;66;66;0.6;0.74;0.4;1.62;1.98;4
13:4:7:768;2.2;1.23;0.4;0.7;2;2;2;2;66;66;0.6;0.74;0.4;1.62;1.98;4
